Experiment_Group,Model_Type,Density,Crash_Rate,Avg_Speed_kmh,Avg_Duration_sec
Conservative,DQN (Conservative),1.5,98.6,90.52,2.97
Conservative,QRDQN (Conservative),1.5,36.9,71.99,8.14
Conservative,DQN (Conservative),1.6,98.0,87.0,2.84
Conservative,QRDQN (Conservative),1.6,49.9,71.89,7.26
Conservative,DQN (Conservative),1.7,99.5,83.92,2.74
Conservative,QRDQN (Conservative),1.7,67.6,71.82,6.03
Conservative,DQN (Conservative),1.8,99.0,81.19,2.64
Conservative,QRDQN (Conservative),1.8,80.2,71.78,4.81
Conservative,DQN (Conservative),1.9,99.2,79.22,2.37
Conservative,QRDQN (Conservative),1.9,87.5,71.82,3.75
Conservative,DQN (Conservative),2.0,99.8,77.31,2.06
Conservative,QRDQN (Conservative),2.0,92.2,71.78,2.98
Conservative,DQN (Conservative),2.1,99.4,76.65,1.8
Conservative,QRDQN (Conservative),2.1,94.5,71.69,2.54
Conservative,DQN (Conservative),2.2,99.9,75.6,1.5
Conservative,QRDQN (Conservative),2.2,96.5,71.61,2.05
Conservative,DQN (Conservative),2.3,99.7,75.06,1.3
Conservative,QRDQN (Conservative),2.3,97.1,71.54,1.78
Conservative,DQN (Conservative),2.4,100.0,74.38,1.13
Conservative,QRDQN (Conservative),2.4,98.0,71.49,1.57
Conservative,DQN (Conservative),2.5,99.8,74.04,1.04
Conservative,QRDQN (Conservative),2.5,97.4,71.5,1.48
Aggressive,DQN (Aggressive),1.5,66.7,81.86,5.77
Aggressive,QRDQN (Aggressive),1.5,16.0,72.25,9.19
Aggressive,DQN (Aggressive),1.6,68.7,79.63,5.54
Aggressive,QRDQN (Aggressive),1.6,25.9,72.26,8.65
Aggressive,DQN (Aggressive),1.7,76.4,77.99,4.91
Aggressive,QRDQN (Aggressive),1.7,37.5,72.24,8.0
Aggressive,DQN (Aggressive),1.8,83.3,76.98,4.0
Aggressive,QRDQN (Aggressive),1.8,54.3,72.17,6.71
Aggressive,DQN (Aggressive),1.9,88.5,76.01,3.29
Aggressive,QRDQN (Aggressive),1.9,70.4,72.02,5.2
Aggressive,DQN (Aggressive),2.0,92.4,75.06,2.79
Aggressive,QRDQN (Aggressive),2.0,77.0,71.96,4.39
Aggressive,DQN (Aggressive),2.1,94.9,74.48,2.33
Aggressive,QRDQN (Aggressive),2.1,88.5,71.72,3.16
Aggressive,DQN (Aggressive),2.2,97.0,74.07,1.94
Aggressive,QRDQN (Aggressive),2.2,91.3,71.62,2.61
Aggressive,DQN (Aggressive),2.3,98.6,73.28,1.54
Aggressive,QRDQN (Aggressive),2.3,94.9,71.48,2.15
Aggressive,DQN (Aggressive),2.4,98.7,73.01,1.35
Aggressive,QRDQN (Aggressive),2.4,96.2,71.42,1.8
Aggressive,DQN (Aggressive),2.5,99.8,72.35,1.12
Aggressive,QRDQN (Aggressive),2.5,97.6,71.4,1.51
