Model_Name,Algorithm,Gamma,Frequency,Version,Episode,Total_Reward,Episode_Length,Avg_Speed,Crashed
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,1,-15.0,24,20.09547044970813,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,2,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,3,0.0,60,20.100509167537577,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,4,0.0,60,20.43384250087091,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,5,0.0,60,20.35050881288436,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,6,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,7,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,8,0.0,60,20.100509167537574,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,9,0.23415100859691265,60,20.350509167537577,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,10,0.0,60,20.100509167537567,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,11,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,12,0.0,60,20.10050910693152,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,13,-15.0,9,20.134137938271905,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,14,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,15,0.0,60,20.100509167537584,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,16,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,17,0.0,60,20.100509167537584,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,18,0.0,60,20.18384250081039,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,19,0.0,60,20.100509167537574,0
