Model_Name,Algorithm,Gamma,Frequency,Version,Episode,Total_Reward,Episode_Length,Avg_Speed,Crashed
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,1,-12.801963479452693,32,20.596275449573923,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,2,-10.089498259114677,35,23.688023264673127,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,3,-12.41080291252497,40,21.28315749116673,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,4,-11.008643141942095,41,22.73472880378272,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,5,-11.36939266861633,15,25.832379297215205,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,6,-13.0,80,20.08905884375457,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,7,-12.576163955926972,54,20.631126192342798,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,8,-13.0,19,20.424685942031733,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,9,0.0,120,20.19920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,10,1.1657964805162655,120,20.490867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,11,0.0,120,20.240867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,12,0.0,120,20.15753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,13,3.8047942521588123,120,21.490867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,14,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,15,0.0,120,20.15753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,16,-13.0,14,20.933481748389337,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,17,1.32969353731087,120,20.615867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,18,2.7471213877343432,120,21.282534358570718,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,19,0.3525954509542668,120,20.44920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,20,1.329693620998461,120,20.65753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,21,2.871663547652304,120,21.40753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,22,-13.0,26,20.19864860637479,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,23,1.6564963794922505,120,20.78253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,24,1.8664928349139633,120,20.78253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,25,0.0,120,20.15753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,26,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,27,0.43086416626538554,120,20.28253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,28,0.5891970745096644,120,20.432951886465375,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,29,-11.584982392052726,10,27.0737853271188,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,30,1.080814094324593,120,20.65753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,31,-13.0,22,21.31382362882745,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,32,-11.834203519483735,35,21.774991642848224,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,33,1.725416821209116,120,20.865867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,34,0.43086416626538554,120,20.240867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,35,1.4150137784706698,120,20.740867691904054,0
